vol_num,keystrokes
406,[BACKSPACE]
407,c
408,[BACKSPACE]v
409, 
410,[RIGHT ARROW][RIGHT ARROW][RIGHT ARROW][RIGHT ARROW]
411,[BACKSPACE]
412,
413,7
414,[BACKSPACE]
415,
416,
417,
418,
419,
420,
421,
422,
423,
424,
425,
426,
427,
428,
429,
430,
431,
432,
433,
434,
435,
436,
437,
438,
439,
440,
441,
442,
443,
444,
445,
446,
447,
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,
460,w
461,g
462,ike
463,[ENTER]
464,
465,d[BACKSPACE]s
466,t
467,d 
468,ib
469,[BACKSPACE]n
470, 
471,
472,[LEFT ARROW]
473,[LEFT ARROW][LEFT ARROW][LEFT ARROW][LEFT ARROW][LEFT ARROW]
474,[LEFT ARROW]
475,x
476," [CLOSE BRACE],,"
477, [RIGHT ARROW]
478,[RIGHT ARROW][RIGHT ARROW][RIGHT ARROW][RIGHT ARROW][RIGHT ARROW]
479,[ENTER]
480,
481,
482,
483,
484,
485,
486,
487,
488,
489,
490,
491,
492,
493,
494,
495,
496,
497,t
498,it
499,
500,
501,
502,
503,
504,
505,
506,
507,
508,
509,
510,
511,
512,
513,
514,
515,
516,
517,
518,
519,
520,
521,
522,
523,if
524, 
525,
526,
527,
528,o
529,n
530,[CLOSE BRACE]of
531,ff
532,
533, 
534,
535,
536,
537,[ENTER]
538, 
539,  
540,
541,o
542,n
543,[CLOSE BRACE][CLOSE BRACE]p
544,f
545,[BACKSPACE][BACKSPACE][CLOSE BRACE]o
546,ff 
547,[CLOSE BRACE]
548,[BACKSPACE]­
549,[BACKSPACE]
550,0
551,[BACKSPACE]=
552, 
553,
554,
555,
556,f
557,a
558,ls
559,[ENTER]
560,[BACKSPACE]
561,[BACKSPACE][BACKSPACE]e
562,kse
563,[ENTER]
564,   
565,on
566,[CLOSE BRACE]
567,p
568,[BACKSPACE][CLOSE BRACE]o
569,f
570,ff û
571,[BACKSPACE]
572,­
573,[BACKSPACE]
574,­ t
575,r
576,e
577,[BACKSPACE]u
578,ce
579,
580,[LEFT ARROW]
581,[BACKSPACE]
582,[UP ARROW][UP ARROW]
583,
584,
585,
586,
587,
588,
589,
590,
591,
592,
593,
594,
595,
596,
597,
598,
599,
600,
601,
602,b
603,oo
604,l 
605,i
606,s [CLOSE BRACE]
607,[BACKSPACE][CLOSE BRACE]
608,ps
609,
610,
611,û
612,
613,
614,
615,ib
616,
617,[BACKSPACE]nt
618, 
619,
620,
621,s
622,[RIGHT ARROW]
623,
624,[ENTER]
625,
626,
627,[CLOSE BRACE]
628,[BACKSPACE][CLOSE BRACE]
629,[BACKSPACE]þ
630,[BACKSPACE]
631,[ENTER][BACKSPACE]
632,
633,
634,
635,[ENTER]
636,
637,
638,
639,
640,
641,uf
642,[BACKSPACE][BACKSPACE]
643,f[BACKSPACE]
644,uf 
645,x
646,
647, 
648,"[CONTROL],"
649,[CONTROL]
650,[CLOSE BRACE].
651, 
652,­
653,[BACKSPACE]­
654,[BACKSPACE]­
655,[BACKSPACE]0
656,[CLOSE BRACE][ENTER]
657,r
658,[BACKSPACE]tr[BACKSPACE]
659,[BACKSPACE]t
660,[BACKSPACE]re
661,t
662,ir
663,b 
664,
665,
666,
667,
668,
669,
670,
671,
672,
673,
674,
675,
676,
677,
678,
679,
680,
681,
682,
683,
684,
685,
686,
687,
688,
689,o[BACKSPACE]
690,if
691, 
692,
693,mod
694,el
695,[CLOSE BRACE]yr
696,a
697,
698, 
699,
700,
701,
702,
703,
704,
705,
706,
707,
708,
709,
710,
711,
712,
713,
714,
715,[CLOSE BRACE]
716,
717,[CLOSE BRACE].
718,
719,=
720,
721,1
722,8
723,[BACKSPACE]
724,
725,­
726,­[BACKSPACE][BACKSPACE]
727,­[BACKSPACE]
728,999
729, 
730,[CLOSE BRACE]3
731,[BACKSPACE]
732,[CLOSE BRACE]
733,a
734,nd
735, 
736,
737,
738,
739,mo
740,del
741,[CLOSE BRACE]t
742,
743,[BACKSPACE][CLOSE BRACE]5r
744,[BACKSPACE]
745,
746,
